127.0.0.1 - - [17/Apr/2026 01:41:17] code 404, message File not found
127.0.0.1 - - [17/Apr/2026 01:41:17] "GET /robots.txt HTTP/1.1" 404 -
127.0.0.1 - - [17/Apr/2026 01:41:21] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2026 01:42:41] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:42:41] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:42:41] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:42:41] "GET /Fragment_Mono/FragmentMono-Regular.ttf HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:43:47] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:43:47] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:43:47] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:43:47] "GET /Fragment_Mono/FragmentMono-Regular.ttf HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:44:39] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:44:39] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:44:39] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:44:39] "GET /Fragment_Mono/FragmentMono-Regular.ttf HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:45:13] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:45:13] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:45:13] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:45:13] "GET /Fragment_Mono/FragmentMono-Regular.ttf HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:45:52] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:45:52] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:45:52] "GET /app.js HTTP/1.1" 200 -
